"BehaviorSpace results (NetLogo 6.2.2)"
"Ants.nlogo"
"tandem carrying"
"03/28/2023 16:03:01:943 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","foraging_strategies","blob_count","food_amount","population","[step]","ticks"
"7","tandem carrying","1","45","100","164","164"
"2","tandem carrying","1","30","100","317","317"
"3","tandem carrying","1","30","100","391","391"
"4","tandem carrying","1","30","100","361","361"
"9","tandem carrying","1","45","100","299","299"
"5","tandem carrying","1","30","100","479","479"
"13","tandem carrying","1","60","100","399","399"
"1","tandem carrying","1","30","100","415","415"
"6","tandem carrying","1","45","100","481","481"
"10","tandem carrying","1","45","100","464","464"
"14","tandem carrying","1","60","100","427","427"
"15","tandem carrying","1","60","100","327","327"
"11","tandem carrying","1","60","100","484","484"
"17","tandem carrying","1","75","100","347","347"
"24","tandem carrying","1","90","100","219","219"
"19","tandem carrying","1","75","100","431","431"
"21","tandem carrying","1","90","100","453","453"
"20","tandem carrying","1","75","100","508","508"
"23","tandem carrying","1","90","100","309","309"
"18","tandem carrying","1","75","100","479","479"
"22","tandem carrying","1","90","100","520","520"
"16","tandem carrying","1","75","100","648","648"
"12","tandem carrying","1","60","100","408","408"
"28","tandem carrying","1","105","100","318","318"
"8","tandem carrying","1","45","100","414","414"
"27","tandem carrying","1","105","100","530","530"
"29","tandem carrying","1","105","100","586","586"
"32","tandem carrying","1","120","100","503","503"
"26","tandem carrying","1","105","100","483","483"
"36","tandem carrying","1","135","100","350","350"
"30","tandem carrying","1","105","100","474","474"
"34","tandem carrying","1","120","100","640","640"
"31","tandem carrying","1","120","100","664","664"
"39","tandem carrying","1","135","100","359","359"
"25","tandem carrying","1","90","100","481","481"
"43","tandem carrying","1","150","100","454","454"
"33","tandem carrying","1","120","100","773","773"
"40","tandem carrying","1","135","100","583","583"
"44","tandem carrying","1","150","100","696","696"
"41","tandem carrying","1","150","100","451","451"
"46","tandem carrying","1","165","100","624","624"
"37","tandem carrying","1","135","100","431","431"
"42","tandem carrying","1","150","100","665","665"
"45","tandem carrying","1","150","100","554","554"
"38","tandem carrying","1","135","100","863","863"
"48","tandem carrying","1","165","100","562","562"
"47","tandem carrying","1","165","100","432","432"
"49","tandem carrying","1","165","100","510","510"
"35","tandem carrying","1","120","100","636","636"
"53","tandem carrying","1","180","100","477","477"
"50","tandem carrying","1","165","100","566","566"
"51","tandem carrying","1","180","100","588","588"
"52","tandem carrying","1","180","100","435","435"
"55","tandem carrying","1","180","100","668","668"
"57","tandem carrying","1","195","100","604","604"
"56","tandem carrying","1","195","100","654","654"
"54","tandem carrying","1","180","100","425","425"
"62","tandem carrying","1","210","100","580","580"
"64","tandem carrying","1","210","100","517","517"
"58","tandem carrying","1","195","100","647","647"
"63","tandem carrying","1","210","100","653","653"
"60","tandem carrying","1","195","100","702","702"
"59","tandem carrying","1","195","100","528","528"
"61","tandem carrying","1","210","100","721","721"
"65","tandem carrying","1","210","100","534","534"
"66","tandem carrying","1","225","100","630","630"
"68","tandem carrying","1","225","100","729","729"
"71","tandem carrying","1","240","100","465","465"
"70","tandem carrying","1","225","100","485","485"
"72","tandem carrying","1","240","100","600","600"
"67","tandem carrying","1","225","100","821","821"
"69","tandem carrying","1","225","100","693","693"
"73","tandem carrying","1","240","100","715","715"
"81","tandem carrying","1","270","100","500","500"
"79","tandem carrying","1","255","100","539","539"
"78","tandem carrying","1","255","100","667","667"
"77","tandem carrying","1","255","100","610","610"
"75","tandem carrying","1","240","100","505","505"
"82","tandem carrying","1","270","100","654","654"
"80","tandem carrying","1","255","100","706","706"
"74","tandem carrying","1","240","100","801","801"
"76","tandem carrying","1","255","100","701","701"
"83","tandem carrying","1","270","100","741","741"
"84","tandem carrying","1","270","100","607","607"
"85","tandem carrying","1","270","100","816","816"
"87","tandem carrying","1","285","100","527","527"
"93","tandem carrying","1","300","100","720","720"
"86","tandem carrying","1","285","100","790","790"
"88","tandem carrying","1","285","100","710","710"
"91","tandem carrying","1","300","100","774","774"
"97","tandem carrying","3","30","100","356","356"
"95","tandem carrying","1","300","100","735","735"
"102","tandem carrying","3","45","100","321","321"
"89","tandem carrying","1","285","100","627","627"
"100","tandem carrying","3","30","100","331","331"
"99","tandem carrying","3","30","100","409","409"
"96","tandem carrying","3","30","100","352","352"
"101","tandem carrying","3","45","100","432","432"
"98","tandem carrying","3","30","100","495","495"
"103","tandem carrying","3","45","100","300","300"
"94","tandem carrying","1","300","100","689","689"
"92","tandem carrying","1","300","100","965","965"
"90","tandem carrying","1","285","100","646","646"
"104","tandem carrying","3","45","100","331","331"
"108","tandem carrying","3","60","100","337","337"
"106","tandem carrying","3","60","100","282","282"
"105","tandem carrying","3","45","100","451","451"
"110","tandem carrying","3","60","100","422","422"
"107","tandem carrying","3","60","100","416","416"
"112","tandem carrying","3","75","100","511","511"
"109","tandem carrying","3","60","100","429","429"
"114","tandem carrying","3","75","100","406","406"
"113","tandem carrying","3","75","100","518","518"
"117","tandem carrying","3","90","100","349","349"
"116","tandem carrying","3","90","100","481","481"
"115","tandem carrying","3","75","100","430","430"
"119","tandem carrying","3","90","100","381","381"
"118","tandem carrying","3","90","100","400","400"
"120","tandem carrying","3","90","100","428","428"
"111","tandem carrying","3","75","100","622","622"
"124","tandem carrying","3","105","100","405","405"
"121","tandem carrying","3","105","100","586","586"
"122","tandem carrying","3","105","100","444","444"
"131","tandem carrying","3","135","100","440","440"
"127","tandem carrying","3","120","100","542","542"
"129","tandem carrying","3","120","100","595","595"
"132","tandem carrying","3","135","100","570","570"
"126","tandem carrying","3","120","100","784","784"
"133","tandem carrying","3","135","100","564","564"
"123","tandem carrying","3","105","100","583","583"
"130","tandem carrying","3","120","100","579","579"
"128","tandem carrying","3","120","100","445","445"
"134","tandem carrying","3","135","100","767","767"
"125","tandem carrying","3","105","100","697","697"
"137","tandem carrying","3","150","100","459","459"
"135","tandem carrying","3","135","100","641","641"
"136","tandem carrying","3","150","100","653","653"
"145","tandem carrying","3","165","100","469","469"
"138","tandem carrying","3","150","100","753","753"
"141","tandem carrying","3","165","100","650","650"
"142","tandem carrying","3","165","100","554","554"
"139","tandem carrying","3","150","100","664","664"
"143","tandem carrying","3","165","100","501","501"
"140","tandem carrying","3","150","100","747","747"
"146","tandem carrying","3","180","100","489","489"
"148","tandem carrying","3","180","100","557","557"
"149","tandem carrying","3","180","100","556","556"
"150","tandem carrying","3","180","100","478","478"
"152","tandem carrying","3","195","100","525","525"
"144","tandem carrying","3","165","100","645","645"
"156","tandem carrying","3","210","100","584","584"
"158","tandem carrying","3","210","100","580","580"
"147","tandem carrying","3","180","100","907","907"
"151","tandem carrying","3","195","100","668","668"
"153","tandem carrying","3","195","100","586","586"
"160","tandem carrying","3","210","100","693","693"
"157","tandem carrying","3","210","100","693","693"
"154","tandem carrying","3","195","100","999","999"
"159","tandem carrying","3","210","100","638","638"
"161","tandem carrying","3","225","100","607","607"
"155","tandem carrying","3","195","100","740","740"
"164","tandem carrying","3","225","100","664","664"
"163","tandem carrying","3","225","100","796","796"
"165","tandem carrying","3","225","100","802","802"
"166","tandem carrying","3","240","100","823","823"
"167","tandem carrying","3","240","100","666","666"
"168","tandem carrying","3","240","100","774","774"
"170","tandem carrying","3","240","100","661","661"
"171","tandem carrying","3","255","100","791","791"
"175","tandem carrying","3","255","100","438","438"
"172","tandem carrying","3","255","100","627","627"
"169","tandem carrying","3","240","100","680","680"
"162","tandem carrying","3","225","100","689","689"
"174","tandem carrying","3","255","100","669","669"
"176","tandem carrying","3","270","100","564","564"
"177","tandem carrying","3","270","100","589","589"
"183","tandem carrying","3","285","100","499","499"
"180","tandem carrying","3","270","100","618","618"
"181","tandem carrying","3","285","100","736","736"
"173","tandem carrying","3","255","100","871","871"
"182","tandem carrying","3","285","100","754","754"
"179","tandem carrying","3","270","100","717","717"
"184","tandem carrying","3","285","100","731","731"
"191","tandem carrying","5","30","100","268","268"
"186","tandem carrying","3","300","100","573","573"
"178","tandem carrying","3","270","100","761","761"
"187","tandem carrying","3","300","100","771","771"
"194","tandem carrying","5","30","100","330","330"
"195","tandem carrying","5","30","100","228","228"
"189","tandem carrying","3","300","100","584","584"
"193","tandem carrying","5","30","100","360","360"
"185","tandem carrying","3","285","100","607","607"
"196","tandem carrying","5","45","100","299","299"
"188","tandem carrying","3","300","100","684","684"
"192","tandem carrying","5","30","100","393","393"
"197","tandem carrying","5","45","100","353","353"
"198","tandem carrying","5","45","100","317","317"
"199","tandem carrying","5","45","100","404","404"
"200","tandem carrying","5","45","100","398","398"
"205","tandem carrying","5","60","100","399","399"
"190","tandem carrying","3","300","100","756","756"
"203","tandem carrying","5","60","100","397","397"
"202","tandem carrying","5","60","100","453","453"
"201","tandem carrying","5","60","100","438","438"
"206","tandem carrying","5","75","100","518","518"
"207","tandem carrying","5","75","100","410","410"
"211","tandem carrying","5","90","100","383","383"
"204","tandem carrying","5","60","100","496","496"
"215","tandem carrying","5","90","100","382","382"
"210","tandem carrying","5","75","100","469","469"
"214","tandem carrying","5","90","100","533","533"
"212","tandem carrying","5","90","100","502","502"
"209","tandem carrying","5","75","100","453","453"
"213","tandem carrying","5","90","100","532","532"
"217","tandem carrying","5","105","100","523","523"
"219","tandem carrying","5","105","100","481","481"
"208","tandem carrying","5","75","100","639","639"
"224","tandem carrying","5","120","100","352","352"
"222","tandem carrying","5","120","100","420","420"
"223","tandem carrying","5","120","100","444","444"
"218","tandem carrying","5","105","100","474","474"
"227","tandem carrying","5","135","100","354","354"
"221","tandem carrying","5","120","100","703","703"
"216","tandem carrying","5","105","100","652","652"
"230","tandem carrying","5","135","100","384","384"
"220","tandem carrying","5","105","100","537","537"
"226","tandem carrying","5","135","100","545","545"
"231","tandem carrying","5","150","100","561","561"
"228","tandem carrying","5","135","100","733","733"
"237","tandem carrying","5","165","100","497","497"
"225","tandem carrying","5","120","100","699","699"
"232","tandem carrying","5","150","100","633","633"
"229","tandem carrying","5","135","100","685","685"
"233","tandem carrying","5","150","100","650","650"
"235","tandem carrying","5","150","100","623","623"
"234","tandem carrying","5","150","100","729","729"
"236","tandem carrying","5","165","100","564","564"
"239","tandem carrying","5","165","100","592","592"
"242","tandem carrying","5","180","100","487","487"
"238","tandem carrying","5","165","100","622","622"
"240","tandem carrying","5","165","100","623","623"
"241","tandem carrying","5","180","100","750","750"
"244","tandem carrying","5","180","100","568","568"
"248","tandem carrying","5","195","100","510","510"
"246","tandem carrying","5","195","100","479","479"
"243","tandem carrying","5","180","100","614","614"
"250","tandem carrying","5","195","100","539","539"
"249","tandem carrying","5","195","100","618","618"
"247","tandem carrying","5","195","100","600","600"
"245","tandem carrying","5","180","100","681","681"
"251","tandem carrying","5","210","100","758","758"
"255","tandem carrying","5","210","100","548","548"
"257","tandem carrying","5","225","100","470","470"
"253","tandem carrying","5","210","100","709","709"
"254","tandem carrying","5","210","100","683","683"
"262","tandem carrying","5","240","100","563","563"
"261","tandem carrying","5","240","100","675","675"
"256","tandem carrying","5","225","100","868","868"
"258","tandem carrying","5","225","100","582","582"
"252","tandem carrying","5","210","100","678","678"
"259","tandem carrying","5","225","100","679","679"
"260","tandem carrying","5","225","100","769","769"
"263","tandem carrying","5","240","100","866","866"
"264","tandem carrying","5","240","100","694","694"
"266","tandem carrying","5","255","100","677","677"
"270","tandem carrying","5","255","100","586","586"
"268","tandem carrying","5","255","100","699","699"
"267","tandem carrying","5","255","100","772","772"
"265","tandem carrying","5","240","100","792","792"
"269","tandem carrying","5","255","100","952","952"
"273","tandem carrying","5","270","100","737","737"
"275","tandem carrying","5","270","100","777","777"
"271","tandem carrying","5","270","100","675","675"
"276","tandem carrying","5","285","100","574","574"
"274","tandem carrying","5","270","100","886","886"
"286","tandem carrying","7","30","100","317","317"
"278","tandem carrying","5","285","100","886","886"
"283","tandem carrying","5","300","100","598","598"
"282","tandem carrying","5","300","100","790","790"
"279","tandem carrying","5","285","100","901","901"
"284","tandem carrying","5","300","100","674","674"
"280","tandem carrying","5","285","100","915","915"
"281","tandem carrying","5","300","100","811","811"
"290","tandem carrying","7","30","100","226","226"
"289","tandem carrying","7","30","100","292","292"
"272","tandem carrying","5","270","100","925","925"
"288","tandem carrying","7","30","100","324","324"
"287","tandem carrying","7","30","100","328","328"
"277","tandem carrying","5","285","100","1061","1061"
"285","tandem carrying","5","300","100","634","634"
"291","tandem carrying","7","45","100","363","363"
"292","tandem carrying","7","45","100","378","378"
"294","tandem carrying","7","45","100","333","333"
"297","tandem carrying","7","60","100","404","404"
"296","tandem carrying","7","60","100","471","471"
"301","tandem carrying","7","75","100","312","312"
"293","tandem carrying","7","45","100","498","498"
"299","tandem carrying","7","60","100","389","389"
"295","tandem carrying","7","45","100","397","397"
"302","tandem carrying","7","75","100","324","324"
"298","tandem carrying","7","60","100","430","430"
"303","tandem carrying","7","75","100","439","439"
"304","tandem carrying","7","75","100","446","446"
"309","tandem carrying","7","90","100","411","411"
"306","tandem carrying","7","90","100","422","422"
"310","tandem carrying","7","90","100","368","368"
"308","tandem carrying","7","90","100","437","437"
"300","tandem carrying","7","60","100","518","518"
"305","tandem carrying","7","75","100","487","487"
"307","tandem carrying","7","90","100","471","471"
"314","tandem carrying","7","105","100","499","499"
"312","tandem carrying","7","105","100","435","435"
"311","tandem carrying","7","105","100","416","416"
"315","tandem carrying","7","105","100","484","484"
"313","tandem carrying","7","105","100","427","427"
"317","tandem carrying","7","120","100","400","400"
"316","tandem carrying","7","120","100","687","687"
"322","tandem carrying","7","135","100","536","536"
"321","tandem carrying","7","135","100","636","636"
"323","tandem carrying","7","135","100","550","550"
"318","tandem carrying","7","120","100","632","632"
"319","tandem carrying","7","120","100","816","816"
"320","tandem carrying","7","120","100","605","605"
"326","tandem carrying","7","150","100","664","664"
"324","tandem carrying","7","135","100","537","537"
"325","tandem carrying","7","135","100","509","509"
"328","tandem carrying","7","150","100","562","562"
"331","tandem carrying","7","165","100","477","477"
"329","tandem carrying","7","150","100","600","600"
"333","tandem carrying","7","165","100","503","503"
"330","tandem carrying","7","150","100","584","584"
"332","tandem carrying","7","165","100","591","591"
"334","tandem carrying","7","165","100","590","590"
"335","tandem carrying","7","165","100","535","535"
"339","tandem carrying","7","180","100","566","566"
"341","tandem carrying","7","195","100","472","472"
"327","tandem carrying","7","150","100","765","765"
"336","tandem carrying","7","180","100","763","763"
"342","tandem carrying","7","195","100","526","526"
"340","tandem carrying","7","180","100","671","671"
"344","tandem carrying","7","195","100","527","527"
"343","tandem carrying","7","195","100","599","599"
"337","tandem carrying","7","180","100","719","719"
"345","tandem carrying","7","195","100","676","676"
"338","tandem carrying","7","180","100","862","862"
"348","tandem carrying","7","210","100","663","663"
"347","tandem carrying","7","210","100","642","642"
"351","tandem carrying","7","225","100","523","523"
"346","tandem carrying","7","210","100","698","698"
"352","tandem carrying","7","225","100","703","703"
"354","tandem carrying","7","225","100","539","539"
"353","tandem carrying","7","225","100","679","679"
"349","tandem carrying","7","210","100","654","654"
"355","tandem carrying","7","225","100","568","568"
"358","tandem carrying","7","240","100","673","673"
"356","tandem carrying","7","240","100","790","790"
"350","tandem carrying","7","210","100","837","837"
"359","tandem carrying","7","240","100","652","652"
"357","tandem carrying","7","240","100","602","602"
"361","tandem carrying","7","255","100","578","578"
"364","tandem carrying","7","255","100","614","614"
"363","tandem carrying","7","255","100","695","695"
"360","tandem carrying","7","240","100","794","794"
"362","tandem carrying","7","255","100","838","838"
"367","tandem carrying","7","270","100","590","590"
"369","tandem carrying","7","270","100","554","554"
"365","tandem carrying","7","255","100","691","691"
"368","tandem carrying","7","270","100","796","796"
"366","tandem carrying","7","270","100","698","698"
"373","tandem carrying","7","285","100","673","673"
"372","tandem carrying","7","285","100","652","652"
"375","tandem carrying","7","285","100","711","711"
"376","tandem carrying","7","300","100","645","645"
"371","tandem carrying","7","285","100","697","697"
"370","tandem carrying","7","270","100","902","902"
"374","tandem carrying","7","285","100","736","736"
"377","tandem carrying","7","300","100","679","679"
"382","tandem carrying","9","30","100","312","312"
"381","tandem carrying","9","30","100","281","281"
"378","tandem carrying","7","300","100","654","654"
"384","tandem carrying","9","30","100","334","334"
"385","tandem carrying","9","30","100","291","291"
"387","tandem carrying","9","45","100","346","346"
"386","tandem carrying","9","45","100","354","354"
"383","tandem carrying","9","30","100","330","330"
"390","tandem carrying","9","45","100","301","301"
"389","tandem carrying","9","45","100","355","355"
"388","tandem carrying","9","45","100","372","372"
"391","tandem carrying","9","60","100","366","366"
"380","tandem carrying","7","300","100","802","802"
"394","tandem carrying","9","60","100","439","439"
"392","tandem carrying","9","60","100","483","483"
"393","tandem carrying","9","60","100","450","450"
"396","tandem carrying","9","75","100","380","380"
"395","tandem carrying","9","60","100","416","416"
"399","tandem carrying","9","75","100","487","487"
"398","tandem carrying","9","75","100","450","450"
"400","tandem carrying","9","75","100","480","480"
"397","tandem carrying","9","75","100","583","583"
"405","tandem carrying","9","90","100","422","422"
"379","tandem carrying","7","300","100","852","852"
"403","tandem carrying","9","90","100","716","716"
"408","tandem carrying","9","105","100","490","490"
"402","tandem carrying","9","90","100","557","557"
"404","tandem carrying","9","90","100","513","513"
"410","tandem carrying","9","105","100","641","641"
"409","tandem carrying","9","105","100","539","539"
"406","tandem carrying","9","105","100","510","510"
"411","tandem carrying","9","120","100","485","485"
"407","tandem carrying","9","105","100","649","649"
"412","tandem carrying","9","120","100","518","518"
"401","tandem carrying","9","90","100","529","529"
"416","tandem carrying","9","135","100","442","442"
"415","tandem carrying","9","120","100","562","562"
"414","tandem carrying","9","120","100","653","653"
"413","tandem carrying","9","120","100","493","493"
"418","tandem carrying","9","135","100","553","553"
"420","tandem carrying","9","135","100","454","454"
"419","tandem carrying","9","135","100","549","549"
"426","tandem carrying","9","165","100","506","506"
"421","tandem carrying","9","150","100","485","485"
"417","tandem carrying","9","135","100","593","593"
"424","tandem carrying","9","150","100","518","518"
"425","tandem carrying","9","150","100","719","719"
"427","tandem carrying","9","165","100","567","567"
"422","tandem carrying","9","150","100","803","803"
"423","tandem carrying","9","150","100","697","697"
"432","tandem carrying","9","180","100","511","511"
"431","tandem carrying","9","180","100","655","655"
"428","tandem carrying","9","165","100","580","580"
"430","tandem carrying","9","165","100","545","545"
"434","tandem carrying","9","180","100","602","602"
"433","tandem carrying","9","180","100","613","613"
"429","tandem carrying","9","165","100","767","767"
"437","tandem carrying","9","195","100","678","678"
"435","tandem carrying","9","180","100","583","583"
"436","tandem carrying","9","195","100","747","747"
"439","tandem carrying","9","195","100","582","582"
"440","tandem carrying","9","195","100","642","642"
"438","tandem carrying","9","195","100","702","702"
"441","tandem carrying","9","210","100","622","622"
"444","tandem carrying","9","210","100","578","578"
"443","tandem carrying","9","210","100","594","594"
"447","tandem carrying","9","225","100","558","558"
"450","tandem carrying","9","225","100","610","610"
"452","tandem carrying","9","240","100","527","527"
"442","tandem carrying","9","210","100","718","718"
"448","tandem carrying","9","225","100","545","545"
"446","tandem carrying","9","225","100","857","857"
"449","tandem carrying","9","225","100","818","818"
"445","tandem carrying","9","210","100","760","760"
"453","tandem carrying","9","240","100","630","630"
"451","tandem carrying","9","240","100","938","938"
"456","tandem carrying","9","255","100","789","789"
"455","tandem carrying","9","240","100","598","598"
"454","tandem carrying","9","240","100","783","783"
"457","tandem carrying","9","255","100","532","532"
"459","tandem carrying","9","255","100","504","504"
"458","tandem carrying","9","255","100","699","699"
"464","tandem carrying","9","270","100","757","757"
"462","tandem carrying","9","270","100","762","762"
"461","tandem carrying","9","270","100","730","730"
"465","tandem carrying","9","270","100","637","637"
"463","tandem carrying","9","270","100","741","741"
"469","tandem carrying","9","285","100","638","638"
"468","tandem carrying","9","285","100","646","646"
"466","tandem carrying","9","285","100","805","805"
"460","tandem carrying","9","255","100","752","752"
"478","tandem carrying","11","30","100","231","231"
"477","tandem carrying","11","30","100","306","306"
"476","tandem carrying","11","30","100","333","333"
"479","tandem carrying","11","30","100","366","366"
"472","tandem carrying","9","300","100","787","787"
"471","tandem carrying","9","300","100","723","723"
"473","tandem carrying","9","300","100","734","734"
"470","tandem carrying","9","285","100","650","650"
"474","tandem carrying","9","300","100","759","759"
"482","tandem carrying","11","45","100","309","309"
"475","tandem carrying","9","300","100","852","852"
"480","tandem carrying","11","30","100","415","415"
"483","tandem carrying","11","45","100","283","283"
"481","tandem carrying","11","45","100","335","335"
"467","tandem carrying","9","285","100","839","839"
"485","tandem carrying","11","45","100","308","308"
"484","tandem carrying","11","45","100","348","348"
"487","tandem carrying","11","60","100","335","335"
"486","tandem carrying","11","60","100","401","401"
"490","tandem carrying","11","60","100","359","359"
"489","tandem carrying","11","60","100","502","502"
"491","tandem carrying","11","75","100","492","492"
"497","tandem carrying","11","90","100","417","417"
"493","tandem carrying","11","75","100","368","368"
"495","tandem carrying","11","75","100","338","338"
"494","tandem carrying","11","75","100","471","471"
"496","tandem carrying","11","90","100","470","470"
"492","tandem carrying","11","75","100","396","396"
"488","tandem carrying","11","60","100","419","419"
"498","tandem carrying","11","90","100","393","393"
"501","tandem carrying","11","105","100","379","379"
"500","tandem carrying","11","90","100","520","520"
"502","tandem carrying","11","105","100","463","463"
"506","tandem carrying","11","120","100","469","469"
"503","tandem carrying","11","105","100","511","511"
"499","tandem carrying","11","90","100","562","562"
"505","tandem carrying","11","105","100","452","452"
"507","tandem carrying","11","120","100","606","606"
"504","tandem carrying","11","105","100","582","582"
"511","tandem carrying","11","135","100","429","429"
"510","tandem carrying","11","120","100","601","601"
"512","tandem carrying","11","135","100","519","519"
"513","tandem carrying","11","135","100","489","489"
"515","tandem carrying","11","135","100","431","431"
"509","tandem carrying","11","120","100","545","545"
"508","tandem carrying","11","120","100","635","635"
"516","tandem carrying","11","150","100","563","563"
"518","tandem carrying","11","150","100","558","558"
"520","tandem carrying","11","150","100","499","499"
"514","tandem carrying","11","135","100","641","641"
"521","tandem carrying","11","165","100","587","587"
"524","tandem carrying","11","165","100","591","591"
"523","tandem carrying","11","165","100","599","599"
"522","tandem carrying","11","165","100","675","675"
"519","tandem carrying","11","150","100","665","665"
"528","tandem carrying","11","180","100","583","583"
"517","tandem carrying","11","150","100","702","702"
"527","tandem carrying","11","180","100","639","639"
"530","tandem carrying","11","180","100","629","629"
"529","tandem carrying","11","180","100","762","762"
"526","tandem carrying","11","180","100","625","625"
"531","tandem carrying","11","195","100","652","652"
"533","tandem carrying","11","195","100","694","694"
"532","tandem carrying","11","195","100","782","782"
"535","tandem carrying","11","195","100","593","593"
"534","tandem carrying","11","195","100","756","756"
"536","tandem carrying","11","210","100","635","635"
"525","tandem carrying","11","165","100","798","798"
"538","tandem carrying","11","210","100","753","753"
"540","tandem carrying","11","210","100","759","759"
"537","tandem carrying","11","210","100","704","704"
"541","tandem carrying","11","225","100","581","581"
"539","tandem carrying","11","210","100","876","876"
"544","tandem carrying","11","225","100","722","722"
"542","tandem carrying","11","225","100","782","782"
"546","tandem carrying","11","240","100","545","545"
"547","tandem carrying","11","240","100","575","575"
"543","tandem carrying","11","225","100","761","761"
"548","tandem carrying","11","240","100","550","550"
"549","tandem carrying","11","240","100","677","677"
"555","tandem carrying","11","255","100","624","624"
"545","tandem carrying","11","225","100","955","955"
"550","tandem carrying","11","240","100","765","765"
"557","tandem carrying","11","270","100","778","778"
"554","tandem carrying","11","255","100","759","759"
"553","tandem carrying","11","255","100","788","788"
"558","tandem carrying","11","270","100","830","830"
"556","tandem carrying","11","270","100","801","801"
"560","tandem carrying","11","270","100","581","581"
"551","tandem carrying","11","255","100","820","820"
"561","tandem carrying","11","285","100","656","656"
"562","tandem carrying","11","285","100","665","665"
"571","tandem carrying","13","30","100","232","232"
"552","tandem carrying","11","255","100","837","837"
"567","tandem carrying","11","300","100","643","643"
"564","tandem carrying","11","285","100","776","776"
"568","tandem carrying","11","300","100","742","742"
"569","tandem carrying","11","300","100","690","690"
"565","tandem carrying","11","285","100","897","897"
"573","tandem carrying","13","30","100","244","244"
"563","tandem carrying","11","285","100","848","848"
"559","tandem carrying","11","270","100","860","860"
"575","tandem carrying","13","30","100","258","258"
"574","tandem carrying","13","30","100","273","273"
"572","tandem carrying","13","30","100","326","326"
"566","tandem carrying","11","300","100","835","835"
"576","tandem carrying","13","45","100","305","305"
"579","tandem carrying","13","45","100","312","312"
"577","tandem carrying","13","45","100","413","413"
"580","tandem carrying","13","45","100","314","314"
"578","tandem carrying","13","45","100","364","364"
"583","tandem carrying","13","60","100","405","405"
"585","tandem carrying","13","60","100","371","371"
"581","tandem carrying","13","60","100","421","421"
"584","tandem carrying","13","60","100","366","366"
"582","tandem carrying","13","60","100","389","389"
"586","tandem carrying","13","75","100","471","471"
"589","tandem carrying","13","75","100","321","321"
"570","tandem carrying","11","300","100","941","941"
"588","tandem carrying","13","75","100","445","445"
"590","tandem carrying","13","75","100","422","422"
"587","tandem carrying","13","75","100","626","626"
"591","tandem carrying","13","90","100","487","487"
"592","tandem carrying","13","90","100","447","447"
"594","tandem carrying","13","90","100","447","447"
"597","tandem carrying","13","105","100","471","471"
"599","tandem carrying","13","105","100","446","446"
"602","tandem carrying","13","120","100","433","433"
"593","tandem carrying","13","90","100","512","512"
"598","tandem carrying","13","105","100","565","565"
"600","tandem carrying","13","105","100","610","610"
"596","tandem carrying","13","105","100","520","520"
"595","tandem carrying","13","90","100","575","575"
"603","tandem carrying","13","120","100","537","537"
"601","tandem carrying","13","120","100","541","541"
"604","tandem carrying","13","120","100","602","602"
"605","tandem carrying","13","120","100","559","559"
"608","tandem carrying","13","135","100","451","451"
"609","tandem carrying","13","135","100","441","441"
"607","tandem carrying","13","135","100","407","407"
"606","tandem carrying","13","135","100","602","602"
"611","tandem carrying","13","150","100","560","560"
"615","tandem carrying","13","150","100","462","462"
"610","tandem carrying","13","135","100","577","577"
"614","tandem carrying","13","150","100","560","560"
"616","tandem carrying","13","165","100","624","624"
"613","tandem carrying","13","150","100","516","516"
"612","tandem carrying","13","150","100","611","611"
"617","tandem carrying","13","165","100","664","664"
"618","tandem carrying","13","165","100","597","597"
"621","tandem carrying","13","180","100","559","559"
"620","tandem carrying","13","165","100","528","528"
"622","tandem carrying","13","180","100","696","696"
"623","tandem carrying","13","180","100","643","643"
"624","tandem carrying","13","180","100","726","726"
"626","tandem carrying","13","195","100","702","702"
"619","tandem carrying","13","165","100","604","604"
"625","tandem carrying","13","180","100","621","621"
"630","tandem carrying","13","195","100","586","586"
"629","tandem carrying","13","195","100","640","640"
"628","tandem carrying","13","195","100","468","468"
"627","tandem carrying","13","195","100","619","619"
"633","tandem carrying","13","210","100","654","654"
"634","tandem carrying","13","210","100","677","677"
"631","tandem carrying","13","210","100","652","652"
"636","tandem carrying","13","225","100","656","656"
"638","tandem carrying","13","225","100","650","650"
"632","tandem carrying","13","210","100","710","710"
"635","tandem carrying","13","210","100","774","774"
"639","tandem carrying","13","225","100","725","725"
"637","tandem carrying","13","225","100","697","697"
"640","tandem carrying","13","225","100","729","729"
"643","tandem carrying","13","240","100","747","747"
"644","tandem carrying","13","240","100","589","589"
"641","tandem carrying","13","240","100","777","777"
"642","tandem carrying","13","240","100","737","737"
"646","tandem carrying","13","255","100","687","687"
"645","tandem carrying","13","240","100","766","766"
"649","tandem carrying","13","255","100","630","630"
"650","tandem carrying","13","255","100","676","676"
"647","tandem carrying","13","255","100","909","909"
"653","tandem carrying","13","270","100","772","772"
"654","tandem carrying","13","270","100","670","670"
"648","tandem carrying","13","255","100","846","846"
"651","tandem carrying","13","270","100","759","759"
"657","tandem carrying","13","285","100","693","693"
"652","tandem carrying","13","270","100","778","778"
"658","tandem carrying","13","285","100","676","676"
"660","tandem carrying","13","285","100","607","607"
"667","tandem carrying","15","30","100","255","255"
"656","tandem carrying","13","285","100","597","597"
